method,source
"/smallsql/database/SSResultSet/updateTimestamp(java.lang.String,java.sql.Timestamp)","[""public void updateTimestamp(String columnName, Timestamp x) throws SQLException {"",""        updateTimestamp( findColumn( columnName ), x );"",""    }""]"
/smallsql/database/SQLParser/limit(smallsql.database.CommandSelect),"[""private void limit(CommandSelect selCmd) throws SQLException{"",""        SQLToken token = nextToken(MISSING_EXPRESSION);"",""        try{"",""            int maxRows = Integer.parseInt(token.getName(sql));"",""            selCmd.setMaxRows(maxRows);"",""        }catch(NumberFormatException e){"",""            throw createSyntaxError(token, Language.STXADD_NOT_NUMBER, token.getName(sql));"",""        }"",""    }""]"
/smallsql/database/Join/getRowPosition(),"[""final long getRowPosition(){"",""\t\tif(rowPositions == null) rowPositions = new LongLongList();"",""\t\trowPositions.add( left.getRowPosition(), right.getRowPosition());"",""\t\treturn rowPositions.size()-1;"",""\t}""]"
/smallsql/database/SSResultSetMetaData/getScale(int),"[""public int getScale(int column) throws SQLException {"",""        return getColumnExpression( column ).getScale();"",""    }""]"
/smallsql/database/ExpressionFunctionLength/getInt(),"[""final int getInt() throws Exception {"",""\t\tString str = param1.getString();"",""\t\tif(str == null) return 0;"",""\t\tint length = str.length();"",""\t\twhile(length\>=0 && str.charAt(length-1) == \' \') length--;"",""\t\treturn length;"",""\t}""]"
/smallsql/database/IndexDescriptions/close(),"[""void close() throws Exception{"",""        for(int i=0; i\<size; i++){"",""            data[i].close();"",""        }"",""    }""]"
/smallsql/junit/TestDeleteUpdate/TestDeleteUpdate(java.lang.String),"[""/**"",""\t * @param name"",""\t */"",""\tpublic TestDeleteUpdate(String name) {"",""\t\tsuper(name);"",""\t}""]"
/smallsql/database/TableStorePageInsert/getLink(),"[""/**"",""\t * Return the link to this StorePage"",""\t */"",""\tfinal StorePageLink getLink(){"",""\t\treturn link;"",""\t}""]"
/smallsql/database/SortedResult/beforeFirst(),"[""void beforeFirst() throws Exception {"",""\t\tscrollStatus.reset();"",""\t\trow = 0;"",""\t\tuseSetRowPosition = false;"",""\t}""]"
"/smallsql/database/Table/requestLockImpl(smallsql.database.SSConnection,int,long)","[""/**"",""     * Request a page lock. If the request is valid then it return the StorePage. "",""     * In the other case it return null."",""     * @param page The fileOffset or -1 for a new page"",""     * @throws SQLException "",""     */"",""\tfinal private TableStorePage requestLockImpl(SSConnection con, int pageOperation, long page) throws SQLException{"",""\t\tsynchronized(locks){"",""\t\t\tif(tabLockConnection != null && tabLockConnection != con) return null;"",""\t\t\tswitch(con.isolationLevel){"",""\t\t\t\tcase Connection.TRANSACTION_SERIALIZABLE:"",""\t\t\t\t\tserializeConnections.put( con, con);"",""\t\t\t\t\tbreak;"",""\t\t\t}"",""\t\t"",""\t\t\tswitch(pageOperation){"",""\t\t\t\tcase SQLTokenizer.CREATE:{"",""\t\t\t\t\t\t// first check if another connection has a lock before creating a table lock"",""\t\t\t\t\t\tif(locks.size() \> 0){"",""\t\t\t\t\t\t\tIterator values = locks.values().iterator();"",""\t\t\t\t\t\t\twhile(values.hasNext()){"",""\t\t\t\t\t\t\t\tTableStorePage lock = (TableStorePage)values.next();"",""\t\t\t\t\t\t\t\tif(lock.con != con) return null;"",""\t\t\t\t\t\t\t}"",""\t\t\t\t\t\t}"",""\t\t\t\t\t\tfor(int i=0; i\<locksInsert.size(); i++){"",""\t\t\t\t\t\t\t//the first StorePage in the linked list must be ever TableStorePageInsert"",""\t\t\t\t\t\t\tTableStorePageInsert lock = (TableStorePageInsert)locksInsert.get(i);"",""\t\t\t\t\t\t\tif(lock.con != con) return null;"",""\t\t\t\t\t\t}"",""\t\t\t\t\t\tif(serializeConnections.size() \> 0){"",""\t\t\t\t\t\t\tIterator values = locks.values().iterator();"",""\t\t\t\t\t\t\twhile(values.hasNext()){"",""\t\t\t\t\t\t\t\tTableStorePage lock = (TableStorePage)values.next();"",""\t\t\t\t\t\t\t\tif(lock.con != con) return null;"",""\t\t\t\t\t\t\t}"",""\t\t\t\t\t\t}"",""\t\t\t\t\t\ttabLockConnection = con;"",""\t\t\t\t\t\ttabLockCount++;"",""\t\t\t\t\t\tTableStorePage lock = new TableStorePage(con, this, LOCK_TAB, page);"",""\t\t\t\t\t\tcon.add(lock);"",""\t\t\t\t\t\treturn lock;"",""\t\t\t\t\t}"",""                case SQLTokenizer.ALTER:{"",""                    // first check if there is any lock before creating a table lock"",""                    if(locks.size() \> 0 || locksInsert.size() \> 0){"",""                        return null;"",""                    }"",""                    if(serializeConnections.size() \> 0){"",""                        Iterator values = locks.values().iterator();"",""                        while(values.hasNext()){"",""                            TableStorePage lock = (TableStorePage)values.next();"",""                            if(lock.con != con) return null;"",""                        }"",""                    }"",""                    tabLockConnection = con;"",""                    tabLockCount++;"",""                    TableStorePage lock = new TableStorePage(con, this, LOCK_TAB, page);"",""                    lock.rollback();"",""                    return lock;"",""                }"",""\t\t\t\tcase SQLTokenizer.INSERT:{"",""\t\t\t\t\t\t// if there are more as one Connection with a serializable lock then an INSERT is not valid"",""\t\t\t\t\t\tif(serializeConnections.size() \> 1) return null;"",""\t\t\t\t\t\tif(serializeConnections.size() == 1 && serializeConnections.get(con) == null) return null;"",""\t\t\t\t\t\tTableStorePageInsert lock = new TableStorePageInsert(con, this, LOCK_INSERT);"",""\t\t\t\t\t\tlocksInsert.add( lock );"",""\t\t\t\t\t\tcon.add(lock);"",""\t\t\t\t\t\treturn lock;"",""\t\t\t\t\t}"",""\t\t\t\tcase SQLTokenizer.SELECT:"",""\t\t\t\tcase SQLTokenizer.UPDATE:{"",""\t\t\t\t\t\tLong pageKey = new Long(page); //TODO performance"",""\t\t\t\t\t\tTableStorePage prevLock = null;"",""\t\t\t\t\t\tTableStorePage lock = (TableStorePage)locks.get( pageKey );"",""\t\t\t\t\t\tTableStorePage usableLock = null;"",""\t\t\t\t\t\twhile(lock != null){"",""\t\t\t\t\t\t\tif(lock.con == con || "",""\t\t\t\t\t\t\t   con.isolationLevel \<= Connection.TRANSACTION_READ_UNCOMMITTED){"",""\t\t\t\t\t\t\t    usableLock = lock;"",""\t\t\t\t\t\t\t} else {"",""\t\t\t\t\t\t\t    if(lock.lockType == LOCK_WRITE){"",""\t\t\t\t\t\t\t        return null; // write lock of another Connection"",""\t\t\t\t\t\t\t    }"",""\t\t\t\t\t\t\t}"",""\t\t\t\t\t\t\tprevLock = lock;"",""\t\t\t\t\t\t\tlock = lock.nextLock;"",""\t\t\t\t\t\t}"",""\t\t\t\t\t\tif(usableLock != null){"",""\t\t\t\t\t\t    return usableLock;"",""\t\t\t\t\t\t}"",""\t\t\t\t\t\tlock = new TableStorePage( con, this, LOCK_NONE, page);"",""\t\t\t\t\t\tif(con.isolationLevel \>= Connection.TRANSACTION_REPEATABLE_READ || pageOperation == SQLTokenizer.UPDATE){"",""\t\t\t\t\t\t\tlock.lockType = pageOperation == SQLTokenizer.UPDATE ? LOCK_WRITE : LOCK_READ;"",""\t\t\t\t\t\t\tif(prevLock != null){"",""\t\t\t\t\t\t\t    prevLock.nextLock = lock.nextLock;"",""\t\t\t\t\t\t\t}else{"",""\t\t\t\t\t\t\t    locks.put( pageKey, lock );"",""\t\t\t\t\t\t\t}"",""\t\t\t\t\t\t\tcon.add(lock);"",""\t\t\t\t\t\t}"",""\t\t\t\t\t\treturn lock;\t\t\t\t\t\t\t"",""\t\t\t\t\t}"",""\t\t\t\tcase SQLTokenizer.LONGVARBINARY:"",""\t\t\t\t\t// is used for written BLOB and CLOB"",""\t\t\t\t\t// the difference to INSERT is that page described the size of the byte buffer"",""\t\t\t\t\treturn new TableStorePage( con, this, LOCK_INSERT, -1);"",""\t\t\t\tdefault:"",""\t\t\t\t\tthrow new Error(\""pageOperation:\""+pageOperation);"",""\t\t\t}"",""\t\t}"",""\t}""]"
/smallsql/junit/TestDBMetaData/TestDBMetaData(java.lang.String),"[""public TestDBMetaData(String arg0) {"",""\t\tsuper(arg0);"",""\t}""]"
/smallsql/junit/TestResultSet/testScrollStates(),"[""public void testScrollStates() throws Exception{"",""        Connection con = AllTests.getConnection();"",""        Statement st = con.createStatement(ResultSet.TYPE_SCROLL_SENSITIVE, ResultSet.CONCUR_UPDATABLE);"",""        ResultSet rs = st.executeQuery(\""Select * From ResultSet Where 1=0\"");"",""        "",""        assertTrue(\""isBeforeFirst\"", rs.isBeforeFirst() );"",""        assertTrue(\""isAfterLast\"", rs.isAfterLast() );"",""        assertEquals(\""getRow\"", 0, rs.getRow() );"",""        "",""        rs.moveToInsertRow();"",""        rs.insertRow();"",""        "",""        rs.beforeFirst();"",""        assertTrue(\""isBeforeFirst\"", rs.isBeforeFirst() );"",""        assertFalse(\""isAfterLast\"", rs.isAfterLast() );"",""        assertEquals(\""getRow\"", 0, rs.getRow() );"",""        assertTrue(\""next\"", rs.next() );"",""        assertTrue(\""isFirst\"", rs.isFirst() );"",""        assertTrue(\""rowInserted\"", rs.rowInserted() );"",""        assertEquals(\""getRow\"", 1, rs.getRow() );"",""        assertTrue(\""isLast\"", rs.isLast() );"",""        assertFalse(\""next\"", rs.next() );"",""        assertFalse(\""isBeforeFirst\"", rs.isBeforeFirst() );"",""        assertTrue(\""isAfterLast\"", rs.isAfterLast() );"",""        assertEquals(\""getRow\"", 0, rs.getRow() );"",""        "",""        assertTrue(\""first\"", rs.first() );"",""        assertEquals(\""getRow\"", 1, rs.getRow() );"",""        "",""        assertFalse(\""previous\"", rs.previous() );"",""        assertEquals(\""getRow\"", 0, rs.getRow() );"",""        assertTrue(\""isBeforeFirst\"", rs.isBeforeFirst() );"",""        assertFalse(\""isAfterLast\"", rs.isAfterLast() );"",""        "",""        assertTrue(\""last\"", rs.last() );"",""        assertEquals(\""getRow\"", 1, rs.getRow() );"",""        assertTrue(\""isLast\"", rs.isLast() );"",""        "",""        rs.afterLast();"",""        assertFalse(\""isBeforeFirst\"", rs.isBeforeFirst() );"",""        assertTrue(\""isAfterLast\"", rs.isAfterLast() );"",""        assertEquals(\""getRow\"", 0, rs.getRow() );"",""    }""]"
/smallsql/database/SSDatabaseMetaData/getTableTypes(),"[""public ResultSet getTableTypes() throws SQLException {"",""\t\tString[] colNames = {\""TABLE_TYPE\""};"",""\t\tObject[][] data   = {{\""SYSTEM TABLE\""}, {\""TABLE\""}, {\""VIEW\""}};"",""\t\treturn new SSResultSet( st, Utils.createMemoryCommandSelect( con, colNames, data));"",""    }""]"
/smallsql/database/ExpressionFunctionReplace/isNull(),"[""final boolean isNull() throws Exception {"",""\t\treturn param1.isNull() || param2.isNull() || param3.isNull();"",""\t}""]"
/smallsql/database/ExpressionFunctionReturnFloat/getMoney(),"[""long getMoney() throws Exception{"",""        return Utils.doubleToMoney(getDouble());"",""    }""]"
/smallsql/database/SSDatabaseMetaData/supportsSchemasInPrivilegeDefinitions(),"[""public boolean supportsSchemasInPrivilegeDefinitions() {"",""    \treturn false;"",""    }""]"
/smallsql/database/TableResult/getMoney(int),"[""@Override"",""    final long getMoney( int colIdx ) throws Exception{"",""        return store.getMoney( offsets[colIdx], dataTypes[colIdx] );"",""    }""]"
/smallsql/database/ViewResult/getNumeric(int),"[""MutableNumeric getNumeric(int colIdx) throws Exception {"",""\t\treturn columnExpressions.get(colIdx).getNumeric();"",""\t}""]"
/smallsql/junit/TestDBMetaData/testGetProcedureColumns(),"[""public void testGetProcedureColumns() throws Exception{"",""        Connection con = AllTests.getConnection();"",""        DatabaseMetaData md = con.getMetaData();"",""        ResultSet rs = md.getProcedureColumns( null, null, \""*\"", null);"",""        String[] colNames = {\""PROCEDURE_CAT\"", \""PROCEDURE_SCHEM\"", \""PROCEDURE_NAME\"", \""COLUMN_NAME\"", \""COLUMN_TYPE\"", \""DATA_TYPE\"", \""TYPE_NAME\"", \""PRECISION\"", \""LENGTH\"", \""SCALE\"", \""RADIX\"", \""NULLABLE\"", \""REMARKS\"" };"",""        int[] colTypes = {Types.NULL, Types.NULL, Types.NULL, Types.NULL, Types.NULL, Types.NULL, Types.NULL, Types.NULL, Types.NULL, Types.NULL, Types.NULL, Types.NULL, Types.NULL };"",""        assertRSMetaData( rs, colNames, colTypes);"",""    }""]"
/smallsql/database/Identity/intValue(),"[""@Override"",""    public int intValue() {"",""\t\treturn (int)value;"",""\t}""]"
/smallsql/database/SortedResult/rowInserted(),"[""final boolean rowInserted(){"",""\t\treturn rowSource.rowInserted();"",""\t}""]"
/smallsql/tools/CommandLine/printRS(java.sql.ResultSet),"[""private static void printRS(ResultSet rs) throws SQLException {"",""        ResultSetMetaData md = rs.getMetaData();"",""        int count = md.getColumnCount();"",""        for(int i=1; i\<=count; i++){"",""            System.out.print(md.getColumnLabel(i));"",""            System.out.print(\'\\t\');"",""        }"",""        System.out.println();"",""        while(rs.next()){"",""            for(int i=1; i\<=count; i++){"",""                System.out.print(rs.getObject(i));"",""                System.out.print(\'\\t\');"",""            }"",""            System.out.println();"",""        }"",""    }""]"
/smallsql/database/Store/isValidPage(),"[""/**"",""\t * Get the status of the current page."",""\t * @return true if the current row valid. false if deleted or updated data."",""\t */"",""\tboolean isValidPage(){"",""\t\treturn false;"",""\t}""]"
"/smallsql/junit/TestDataTypes/checkValues(java.sql.Statement,java.lang.Object[],boolean)","[""private void checkValues(Statement st, Object[] values, boolean needTrim) throws Exception{"",""        ResultSet rs = st.executeQuery(\""SELECT * From \"" + table);"","""",""        int i = 0;"",""        while(rs.next()){"",""            assertEqualsRsValue(values[i], rs, needTrim);"",""            i++;"",""        }"",""        rs.close();"",""\t}""]"
"/smallsql/database/StoreImpl/writeExpression(smallsql.database.Expression,smallsql.database.Column)","[""/**"",""     * Here are pass only Expression instead of Objects to optimize "",""     * it for native data (no object)."",""     * The value of offset must be correctly. "",""     * @param expr the value that should be written"",""     * @param column a description of the target column"",""     * @throws Exception if any error occur like conversions or io exceptions"",""     */"",""    void writeExpression( Expression expr, Column column) throws Exception{"",""        boolean isNull = expr.isNull();"",""        if(isNull && !column.isNullable()){"",""            throw SmallSQLException.create(Language.VALUE_NULL_INVALID, column.getName());"",""        }"",""        int dataType = column.getDataType();"",""        if(isNull){"",""            writeBoolean(true); //true - is null"",""            switch(dataType){"",""                case SQLTokenizer.BIT:"",""                case SQLTokenizer.BOOLEAN:"",""                case SQLTokenizer.TINYINT:"",""                    offset++;"",""                    break;"",""                case SQLTokenizer.SMALLINT:"",""                case SQLTokenizer.BINARY:"",""                case SQLTokenizer.VARBINARY:"",""                case SQLTokenizer.CHAR:"",""                case SQLTokenizer.NCHAR:"",""                case SQLTokenizer.VARCHAR:"",""                case SQLTokenizer.NVARCHAR:"",""                    offset += 2;"",""                    break;"",""                case SQLTokenizer.INT:"",""                case SQLTokenizer.REAL:"",""                case SQLTokenizer.SMALLMONEY:"",""                case SQLTokenizer.TIME:"",""                case SQLTokenizer.DATE:"",""                case SQLTokenizer.SMALLDATETIME:"",""                    offset += 4;"",""                    break;"",""                case SQLTokenizer.BIGINT:"",""                case SQLTokenizer.FLOAT:"",""                case SQLTokenizer.DOUBLE:"",""                case SQLTokenizer.MONEY:"",""                case SQLTokenizer.JAVA_OBJECT:"",""                case SQLTokenizer.LONGVARBINARY:"",""                case SQLTokenizer.BLOB:"",""\t\t\t\tcase SQLTokenizer.CLOB:"",""\t\t\t\tcase SQLTokenizer.NCLOB:"",""                case SQLTokenizer.LONGNVARCHAR:"",""                case SQLTokenizer.LONGVARCHAR:"",""                case SQLTokenizer.TIMESTAMP:"",""                    offset += 8;"",""                    break;"",""                case SQLTokenizer.UNIQUEIDENTIFIER:"",""                    offset += 16;"",""                    break;"",""                case SQLTokenizer.NUMERIC:"",""                case SQLTokenizer.DECIMAL:"",""                    offset += 3;"",""                    break;"",""                default: throw new Error();"",""            }"",""            return;"",""        }"",""        writeBoolean(false); // false - is not null"",""       \tcolumn.setNewAutoIncrementValue(expr);"",""        switch(dataType){"",""            case SQLTokenizer.BIT:"",""            case SQLTokenizer.BOOLEAN:"",""                    writeBoolean( expr.getBoolean() );"",""                    break;"",""            case SQLTokenizer.BINARY:"",""            case SQLTokenizer.VARBINARY:"",""                    writeBinary( expr.getBytes(), column.getPrecision(), dataType != SQLTokenizer.BINARY );"",""                    break;"",""            case SQLTokenizer.TINYINT:"",""                    writeByte( expr.getInt() );"",""                    break;"",""            case SQLTokenizer.SMALLINT:"",""                    writeShort( expr.getInt() );"",""                    break;"",""            case SQLTokenizer.INT:"",""                    writeInt( expr.getInt() );"",""                    break;"",""            case SQLTokenizer.BIGINT:"",""                    writeLong( expr.getLong() );"",""                    break;"",""            case SQLTokenizer.REAL:"",""                    writeFloat( expr.getFloat() );"",""                    break;"",""            case SQLTokenizer.FLOAT:"",""            case SQLTokenizer.DOUBLE:"",""                    writeDouble( expr.getDouble() );"",""                    break;"",""            case SQLTokenizer.MONEY:"",""                    writeLong( expr.getMoney() );"",""                    break;"",""            case SQLTokenizer.SMALLMONEY:"",""                    writeInt( (int)expr.getMoney() );"",""                    break;"",""            case SQLTokenizer.NUMERIC:"",""            case SQLTokenizer.DECIMAL:"",""            \t\tMutableNumeric numeric = expr.getNumeric();"",""            \t\tnumeric.setScale( column.getScale() );"",""                    writeNumeric( numeric );"",""                    break;"",""            case SQLTokenizer.CHAR:"",""            case SQLTokenizer.NCHAR:"",""                    writeString( expr.getString(), column.getDisplaySize(), false );"",""                    break;"",""            case SQLTokenizer.VARCHAR:"",""            case SQLTokenizer.NVARCHAR:"",""                    writeString( expr.getString(), column.getDisplaySize(), true );"",""                    break;"",""\t\t\tcase SQLTokenizer.CLOB:"",""\t\t\tcase SQLTokenizer.NCLOB:"",""            case SQLTokenizer.LONGNVARCHAR:"",""            case SQLTokenizer.LONGVARCHAR:"",""                    writeLongString( expr.getString() );"",""                    break;"",""            case SQLTokenizer.JAVA_OBJECT:"",""                    // FIXME a MemoryStream can be faster because there are no additional array copy"",""                    ByteArrayOutputStream baos = new ByteArrayOutputStream();"",""                    ObjectOutputStream oos = new ObjectOutputStream(baos);"",""                    oos.writeObject( expr.getObject() );"",""                    writeLongBinary( baos.toByteArray() );"",""                    break;"",""            case SQLTokenizer.LONGVARBINARY:"",""            case SQLTokenizer.BLOB:"",""                    writeLongBinary( expr.getBytes() );"",""                    break;"",""            case SQLTokenizer.TIMESTAMP:"",""                    writeTimestamp( expr.getLong() );"",""                    break;"",""            case SQLTokenizer.TIME:"",""                    writeTime( expr.getLong() );"",""                    break;"",""            case SQLTokenizer.DATE:"",""                    writeDate( expr.getLong() );"",""                    break;"",""            case SQLTokenizer.SMALLDATETIME:"",""                    writeSmallDateTime( expr.getLong() );"",""                    break;"",""            case SQLTokenizer.UNIQUEIDENTIFIER:"",""\t\t\t\t\tswitch(expr.getDataType()){"",""\t\t\t\t\tcase SQLTokenizer.UNIQUEIDENTIFIER:"",""\t\t\t\t\tcase SQLTokenizer.BINARY:"",""\t\t\t\t\tcase SQLTokenizer.VARBINARY:"",""\t\t\t\t\tcase SQLTokenizer.LONGVARBINARY:"",""\t\t\t\t\tcase SQLTokenizer.BLOB:"",""\t\t\t\t\t\tbyte[] bytes = expr.getBytes();"",""                        if(bytes.length != 16) throw SmallSQLException.create(Language.BYTEARR_INVALID_SIZE, String.valueOf(bytes.length));"",""                        writeBytes( bytes );"",""\t\t\t\t\tdefault:"",""                        writeBytes( Utils.unique2bytes(expr.getString()) );"",""\t\t\t\t\t}"",""                    break;"",""            default: throw new Error(String.valueOf(column.getDataType()));"",""        }"",""    }""]"
"/smallsql/database/SSResultSetMetaData/getDisplaySize(int,int,int)","[""static int getDisplaySize(int dataType, int precision, int scale){"",""\t\tswitch(dataType){"",""\t\t\tcase SQLTokenizer.BIT:"",""\t\t\t\treturn 1; // 1 and 0"",""\t\t\tcase SQLTokenizer.BOOLEAN:"",""\t\t\t\treturn 5; //true and false"",""\t\t\tcase SQLTokenizer.TINYINT:"",""\t\t\t\treturn 3;"",""\t\t\tcase SQLTokenizer.SMALLINT:"",""\t\t\t\treturn 6;"",""\t\t\tcase SQLTokenizer.INT:"",""\t\t\t\treturn 10;"",""\t\t\tcase SQLTokenizer.BIGINT:"",""            case SQLTokenizer.MONEY:"",""\t\t\t\treturn 19;"",""            case SQLTokenizer.REAL:"",""                return 13;"",""\t\t\tcase SQLTokenizer.FLOAT:"",""\t\t\tcase SQLTokenizer.DOUBLE:"",""\t\t\t\treturn 17;"",""\t\t\tcase SQLTokenizer.LONGVARCHAR:"",""            case SQLTokenizer.LONGNVARCHAR:"",""\t\t\tcase SQLTokenizer.LONGVARBINARY:"",""            case SQLTokenizer.JAVA_OBJECT:"",""            case SQLTokenizer.BLOB:"",""            case SQLTokenizer.CLOB:"",""            case SQLTokenizer.NCLOB:"",""\t\t\t\treturn Integer.MAX_VALUE;"",""\t\t\tcase SQLTokenizer.NUMERIC:"",""\t\t\t\treturn precision + (scale\>0 ? 2 : 1);"",""\t\t\tcase SQLTokenizer.VARBINARY:"",""\t\t\tcase SQLTokenizer.BINARY:"",""\t\t\t\treturn 2 + precision*2;"",""            case SQLTokenizer.SMALLDATETIME:"",""                return 21;"",""\t\t\tdefault:"",""\t\t\t\treturn precision;"",""\t\t}"",""\t}""]"
/smallsql/junit/TestGroupBy/testFirst1(),"[""public void testFirst1() throws Exception{"",""\t\tinit();"",""\t\tassertEqualsRsValue( new Integer(1), \""Select first(id) FROM \"" + table1);"",""\t}""]"
/smallsql/database/ExpressionArithmetic/getFloat(),"[""float getFloat() throws java.lang.Exception {"",""        if(isNull()) return 0;"",""        int dataType = getDataType();"",""        switch(dataType){"",""            case SQLTokenizer.BIT:"",""            case SQLTokenizer.BOOLEAN:"",""\t\t\t\treturn getBoolean() ? 1 : 0;"",""            case SQLTokenizer.TINYINT:"",""            case SQLTokenizer.SMALLINT:"",""            case SQLTokenizer.INT:"",""\t\t\t\treturn getIntImpl();"",""            case SQLTokenizer.BIGINT:"",""                return getLongImpl();"",""\t\t\tcase SQLTokenizer.REAL:"",""                return getFloatImpl();"",""\t\t\tcase SQLTokenizer.FLOAT:"",""\t\t\tcase SQLTokenizer.DOUBLE:"",""            case SQLTokenizer.MONEY:"",""            case SQLTokenizer.SMALLMONEY:"",""            case SQLTokenizer.NUMERIC:"",""            case SQLTokenizer.DECIMAL:"",""                return (float)getDoubleImpl();"",""        }"",""\t\tthrow createUnspportedConversion( SQLTokenizer.DOUBLE);"",""    }""]"
"/smallsql/database/SmallSQLException/create(java.lang.String,java.lang.Object)","[""/**"",""\t * Convenience method for passing only one parameter.\<br\>"",""\t * To create a custom message, pass Language.CUSTOM_MESSAGE as messageCode"",""\t * and the message as param0."",""\t * "",""\t * @param messageCode"",""\t *            localized message key. pass Language.CUSTOM_MESSAGE and the"",""\t *            plain message inside the parameters array to create an"",""\t *            unlocalized message."",""\t * @param param0"",""\t *            message parameter."",""\t */"",""    static SQLException create( String messageCode, Object param0 ) {"",""    \tString message = translateMsg(messageCode, new Object[] { param0 });"",""    \tString sqlState = language.getSqlState(messageCode);"",""        return new SmallSQLException(message, sqlState);"",""    }""]"
/smallsql/database/CommandInsert/addValues(smallsql.database.CommandSelect),"[""void addValues( CommandSelect cmdSel ){"",""    \tthis.cmdSel = cmdSel;"",""    }""]"
"/smallsql/database/SSCallableStatement/getTimestamp(int,java.util.Calendar)","[""public Timestamp getTimestamp(int i, Calendar cal) throws SQLException {"",""        /**@todo: Implement this java.sql.CallableStatement method*/"",""        throw SmallSQLException.create(Language.UNSUPPORTED_OPERATION, \""Method getTimestamp() not yet implemented.\"");"",""    }""]"
/smallsql/database/SSDatabaseMetaData/getCatalogSeparator(),"[""public String getCatalogSeparator() {"",""    \treturn \"".\"";"",""    }""]"
"/smallsql/database/TableView/createFile(smallsql.database.SSConnection,smallsql.database.Database)","[""/**"",""\t * Create an empty table or view file that only include the signature."",""\t * @param database The database that the table or view should include."",""\t * @return A file handle"",""\t * @throws Exception if any error occur like"",""\t * \<li\>file exist already"",""\t * \<li\>SecurityException"",""\t */"",""\tFileChannel createFile(SSConnection con, Database database) throws Exception{"",""\t    if( database.isReadOnly() ){"",""\t        throw SmallSQLException.create(Language.DB_READONLY);"",""\t    }"",""\t\tFile file = getFile( database );"",""\t\tboolean ok = file.createNewFile();"",""\t\tif(!ok) throw SmallSQLException.create(Language.TABLE_EXISTENT, name);"",""\t\tFileChannel raFile = Utils.openRaFile( file, database.isReadOnly() );"",""\t\tcon.add(new CreateFile(file, raFile, con, database));"",""\t\twriteMagic(raFile);"",""\t\treturn raFile;"",""\t}""]"
/smallsql/database/language/Language/getFromLocaleTree(java.lang.String),"[""/**"",""\t * Searches a language in the Locale tree, for example:\<br\>"",""\t * first \'en_UK\', then \'en\'"",""\t * "",""\t * @param localeStr"",""\t *            locale string."",""\t * @return Language instance, if found."",""\t * @throws IllegalArgumentException"",""\t *             Language not found in the tree."",""\t */"",""\tprivate static Language getFromLocaleTree(String localeStr) "",""\tthrows IllegalArgumentException {"",""\t\tString part = localeStr;"",""\t\twhile (true) {"",""\t\t\tString langClassName = Language.class.getName() + \'_\' + part;"",""\t\t\t"",""\t\t\ttry {"",""\t\t\t\treturn (Language) Class.forName(langClassName).newInstance();"",""\t\t\t}"",""\t\t\tcatch (IllegalAccessException e) {"",""\t\t\t\t assert(false): \""Internal error: must never happen.\"";"",""\t\t\t}"",""\t\t\tcatch (ClassNotFoundException e) { "",""\t\t\t\t// do nothing"",""\t\t\t}"",""\t\t\tcatch (InstantiationException e) { "",""\t\t\t\tassert(false): \""Error during Language instantiation: \"" + e.getMessage();"",""\t\t\t}"",""\t\t\t"",""\t\t\tint lastUndsc = part.lastIndexOf(\""_\"");"",""\t\t\t"",""\t\t\tif (lastUndsc \> -1) part = part.substring(0, lastUndsc);"",""\t\t\telse break;\t\t\t"",""\t\t}"",""\t\t"",""\t\tthrow new IllegalArgumentException(\""Locale not found in the tree: \"" + localeStr);"",""\t}""]"
"/smallsql/database/TableStorePageInsert/TableStorePageInsert(smallsql.database.SSConnection,smallsql.database.Table,int)","[""TableStorePageInsert(SSConnection con, Table table, int lockType){"",""\t\tsuper( con, table, lockType, -1);"",""\t\tlink.page = this;"",""\t\tlink.filePos = fileOffset;"",""\t}""]"
"/smallsql/database/SSCallableStatement/setBoolean(java.lang.String,boolean)","[""public void setBoolean(String parameterName, boolean x) throws SQLException {"",""        setBoolean( findParameter( parameterName ), x );"",""    }""]"
/smallsql/database/SSCallableStatement/findParameter(java.lang.String),"[""private int findParameter( String parameterName ){"",""        /**@todo: Implement this java.sql.CallableStatement method*/"",""        throw new java.lang.UnsupportedOperationException(\""Method findParameter() not yet implemented.\"");"",""    }""]"
"/smallsql/database/SSCallableStatement/setDouble(java.lang.String,double)","[""public void setDouble(String parameterName, double x) throws SQLException {"",""        setDouble( findParameter( parameterName ), x );"",""    }""]"
